"Date,Open,High,Low,Close ,Adj Close ,Volume"
"19-Sep-24,571.01,572.88,568.08,570.98,565.62,""75,315,500"""
"18-Sep-24,563.74,568.69,560.83,561.4,556.13,""59,044,900"""
"17-Sep-24,565.1,566.58,560.79,563.07,557.79,""49,321,000"""
"16-Sep-24,561.74,563.11,559.9,562.84,557.56,""36,656,100"""
"13-Sep-24,559.71,563.03,559.45,562.01,556.74,""39,310,500"""
"12-Sep-24,555.01,559.4,552.74,559.09,553.84,""51,892,700"""
"11-Sep-24,548.7,555.36,539.96,554.42,549.22,""75,248,600"""
"10-Sep-24,548.36,549.15,543.38,548.79,543.64,""36,394,600"""
"9-Sep-24,544.65,547.71,542.68,546.41,541.28,""40,445,800"""
"6-Sep-24,549.94,551.6,539.44,540.36,535.29,""68,493,800"""
"5-Sep-24,550.89,553.8,547.1,549.61,544.45,""44,264,300"""
"4-Sep-24,550.2,554.43,549.46,550.95,545.78,""47,224,900"""
"3-Sep-24,560.47,560.81,549.51,552.08,546.9,""60,600,100"""
"30-Aug-24,560.77,564.2,557.14,563.68,558.39,""62,700,100"""
"29-Aug-24,560.31,563.68,557.18,558.35,553.11,""38,715,200"""
"28-Aug-24,561.21,561.65,555.04,558.3,553.06,""41,066,000"""
"27-Aug-24,559.49,562.06,558.32,561.56,556.29,""32,693,900"""
"26-Aug-24,563.18,563.91,559.05,560.79,555.53,""35,788,600"""
"23-Aug-24,559.53,563.09,557.29,562.13,556.86,""50,639,400"""
"22-Aug-24,562.56,563.18,554.98,556.22,551,""56,121,500"""
"21-Aug-24,559.77,562.11,554.73,560.62,555.36,""41,514,600"""
"20-Aug-24,559.15,560.84,557.33,558.7,553.46,""33,732,300"""
"19-Aug-24,554.73,559.61,553.86,559.61,554.36,""39,121,800"""
"16-Aug-24,551.42,555.02,551.26,554.31,549.11,""44,430,700"""
"15-Aug-24,549.5,553.36,548.88,553.07,547.88,""60,846,800"""
"14-Aug-24,542.85,544.96,540.12,543.75,538.65,""42,446,900"""
"13-Aug-24,536.53,542.28,536.28,542.04,536.95,""52,333,100"""
"12-Aug-24,534.21,535.73,530.95,533.27,528.27,""42,542,100"""
